student_id,module_code,programme,attendance_pct,formative_avg,missed_submissions,moodle_logins_per_week,quiz_avg,prev_module_avg,assignment_completion_pct,risk_level
BC000001,NWD371,BICT-Hons,62.1,80.1,1,3.2,68.2,65.8,77.4,moderate
BC000002,AIN371,DipICT,82.5,92.4,1,7.1,61.2,87.2,84.2,low
BC000003,NWD371,DipICT,86.5,77.3,0,8.0,85.1,88.3,95.6,low
BC000004,AIN371,DipICT,52.6,65.9,1,3.1,43.6,65.1,72.7,moderate
BC000005,MAT371,DipICT,70.2,76.4,1,7.8,73.1,81.3,81.8,low
BC000006,AIN371,DipICT,44.3,36.6,1,6.6,28.9,54.8,40.0,high
BC000007,AIN371,BICT,87.3,84.9,0,5.2,81.9,71.5,69.0,high
BC000008,PRG381,DipICT,80.4,61.2,2,6.5,55.5,62.8,71.3,moderate
BC000009,MAT371,BICT-Hons,63.1,64.7,2,4.0,53.9,37.7,51.5,moderate
BC000010,AIN371,DipICT,65.1,65.7,3,5.5,55.6,66.9,87.4,moderate
BC000011,PRG381,DipICT,66.4,48.3,2,5.8,86.4,65.7,66.3,moderate
BC000012,DBS371,BICT-Hons,100.0,90.4,0,4.7,74.1,74.3,89.5,low
BC000013,DBS371,BICT-Hons,49.0,47.4,1,9.1,96.5,66.6,59.8,moderate
BC000014,PRG381,BICT,52.8,44.2,0,6.5,51.8,50.9,50.4,moderate
BC000015,DBS371,BICT-Hons,90.4,66.0,0,4.4,45.8,52.6,64.9,moderate
BC000016,DBS371,BICT,71.7,90.6,0,6.2,74.0,69.7,90.0,low
BC000017,PRG381,BICT,52.9,67.9,4,3.0,57.2,51.0,69.2,high
BC000018,PRG381,DipICT,69.3,68.6,1,6.6,27.1,33.7,58.9,moderate
BC000019,MAT371,BICT-Hons,71.6,82.3,0,6.5,32.9,62.0,62.1,moderate
BC000020,PRG381,DipICT,76.0,41.4,0,4.0,52.7,72.0,73.4,moderate
BC000021,AIN371,DipICT,56.9,58.0,1,4.7,54.5,84.8,81.3,moderate
BC000022,NWD371,DipICT,41.0,47.5,1,2.3,15.0,41.1,40.4,high
BC000023,NWD371,BICT,51.5,55.7,2,2.2,39.8,79.1,94.1,high
BC000024,DBS371,BICT,95.9,56.3,0,7.4,72.8,65.6,76.8,high
BC000025,AIN371,BICT-Hons,66.8,75.1,1,6.4,66.2,68.5,69.3,moderate
